NodeA	NodeB	condition	nor_MI_value	median_of_test	adj.pvalue
y x	y	x	NA	0.363419928212489	0.000900011654669871	0
w x	w	x	NA	0.0487190349560562	0.00101252532893883	8.03097248701296e-47
w y	w	y	NA	0.0888210146813523	0.00100618172906384	1.05015138585214e-243
v x	v	x	NA	0.141558170709453	0.000832724830956147	1.11828501921161e-294
v y	v	y	NA	0.221153663739267	0.00140801306009269	0
v w	v	w	NA	0.0615698095277822	0.00105989458320938	1.62364948758263e-45
z x	z	x	NA	0.108878525403288	0.00114746068317599	1.54628878255619e-193
z y	z	y	NA	0.164742689224497	0.00116284351936614	0
z w	z	w	NA	0.478614807713162	0.00140206064746272	0
z v	z	v	NA	0.201241396600223	0.00097477418779061	0
a x	a	x	NA	0.00832022901438191	0.00100310800103922	0.215941838364822
a y	a	y	NA	0.00412326059949776	0.00101113459542671	0.632726733614983
a w	a	w	NA	0.00438209452885187	0.00125460885173968	0.622923937563988
a v	a	v	NA	0.00524782044196351	0.00104194340559459	0.3769853745722
a z	a	z	NA	0.00562081706398062	0.000980122630046277	0.296881245290986
b x	b	x	NA	0.00651019392089952	0.001140693001413	0.170995485714824
b y	b	y	NA	0.00266922549995625	0.00142337267189839	0.970660402992576
b w	b	w	NA	0.00263852306968772	0.00089199525877958	0.977651675802427
b v	b	v	NA	0.00352265139451462	0.00136714968977059	0.89734743620688
b z	b	z	NA	0.00367736805683509	0.00127024894321441	0.901762866952211
b a	b	a	NA	0.585986116797092	0.00077105007058462	0
c x	c	x	NA	0.00700500097698048	0.00101445854151362	0.0473997533858924
c y	c	y	NA	0.000835653256447772	0.00147554324548071	0.592160614276
c w	c	w	NA	0.00319337412516004	0.000924237999303383	0.711181873274349
c v	c	v	NA	0.000641999298021396	0.00104488395324407	0.583278188279713
c z	c	z	NA	0.00248969067865628	0.00110147945535418	0.945480995097547
c a	c	a	NA	0.251558584082878	0.00123069821942851	0
c b	c	b	NA	0.284044572262207	0.00107654923934379	0
x y	x	y	NA	0.363419928212489	0.000900011654669871	0
x w	x	w	NA	0.0487190349560562	0.00101252532893883	8.03097248701296e-47
y w	y	w	NA	0.0888210146813523	0.00100618172906384	1.05015138585214e-243
x v	x	v	NA	0.141558170709453	0.000832724830956147	1.11828501921161e-294
y v	y	v	NA	0.221153663739267	0.00140801306009269	0
w v	w	v	NA	0.0615698095277822	0.00105989458320938	1.62364948758263e-45
x z	x	z	NA	0.108878525403288	0.00114746068317599	1.54628878255619e-193
y z	y	z	NA	0.164742689224497	0.00116284351936614	0
w z	w	z	NA	0.478614807713162	0.00140206064746272	0
v z	v	z	NA	0.201241396600223	0.00097477418779061	0
x a	x	a	NA	0.00832022901438191	0.00100310800103922	0.215941838364822
y a	y	a	NA	0.00412326059949776	0.00101113459542671	0.632726733614983
w a	w	a	NA	0.00438209452885187	0.00125460885173968	0.622923937563988
v a	v	a	NA	0.00524782044196351	0.00104194340559459	0.3769853745722
z a	z	a	NA	0.00562081706398062	0.000980122630046277	0.296881245290986
x b	x	b	NA	0.00651019392089952	0.001140693001413	0.170995485714824
y b	y	b	NA	0.00266922549995625	0.00142337267189839	0.970660402992576
w b	w	b	NA	0.00263852306968772	0.00089199525877958	0.977651675802427
v b	v	b	NA	0.00352265139451462	0.00136714968977059	0.89734743620688
z b	z	b	NA	0.00367736805683509	0.00127024894321441	0.901762866952211
a b	a	b	NA	0.585986116797092	0.00077105007058462	0
x c	x	c	NA	0.00700500097698048	0.00101445854151362	0.0473997533858924
y c	y	c	NA	0.000835653256447772	0.00147554324548071	0.592160614276
w c	w	c	NA	0.00319337412516004	0.000924237999303383	0.711181873274349
v c	v	c	NA	0.000641999298021396	0.00104488395324407	0.583278188279713
z c	z	c	NA	0.00248969067865628	0.00110147945535418	0.945480995097547
a c	a	c	NA	0.251558584082878	0.00123069821942851	0
b c	b	c	NA	0.284044572262207	0.00107654923934379	0
